pop_size,max_iter,max_r,path_size,rep,fitness,path_length,collisions,iterations,runtime
40,500,40,3,4,1629.7218547851435,1629.7218547851435,0,500,1.9528915882110596
40,500,40,3,5,1417.84729537897,1417.84729537897,0,500,2.089960813522339
40,500,60,2,1,1414.5503108861508,1414.5503108861508,0,500,1.8518595695495605
40,500,60,2,2,1414.608719309692,1414.608719309692,0,500,1.9173846244812012
40,500,60,2,3,1414.8962017014635,1414.8962017014635,0,500,1.6337859630584717
40,500,60,2,4,1414.9168709686614,1414.9168709686614,0,500,1.7444226741790771
40,500,60,2,5,1434.41663787872,1434.41663787872,0,500,1.6039001941680908
40,500,60,3,1,1420.2646160107859,1420.2646160107859,0,500,1.8176093101501465
40,500,60,3,2,1495.119747066129,1495.119747066129,0,500,2.224114179611206
40,500,60,3,3,1651.948100325058,1651.948100325058,0,500,1.905827522277832
40,500,60,3,4,1748.5861520983135,1748.5861520983135,0,500,1.9223735332489014
40,500,60,3,5,1610.8612440921047,1610.8612440921047,0,500,1.8454763889312744
